scenario,iteration,latency_ms
"raft/3-node (f=1, CFT)",149,1.0952
"raft/3-node (f=1, CFT)",150,1.3305
"raft/3-node (f=1, CFT)",151,1.2167
"raft/3-node (f=1, CFT)",152,1.2369
"raft/3-node (f=1, CFT)",153,1.0572
"raft/3-node (f=1, CFT)",154,1.1649
"raft/3-node (f=1, CFT)",155,1.2383
"raft/3-node (f=1, CFT)",156,1.0181
"raft/3-node (f=1, CFT)",157,1.0992
"raft/3-node (f=1, CFT)",158,1.7539
"raft/3-node (f=1, CFT)",159,1.5039
"raft/3-node (f=1, CFT)",160,0.9278
"raft/3-node (f=1, CFT)",161,0.9675
"raft/3-node (f=1, CFT)",162,0.8193
"raft/3-node (f=1, CFT)",163,1.0000
"raft/3-node (f=1, CFT)",164,1.2145
"raft/3-node (f=1, CFT)",165,0.7452
"raft/3-node (f=1, CFT)",166,1.0188
"raft/3-node (f=1, CFT)",167,1.0358
"raft/3-node (f=1, CFT)",168,0.9701
"raft/3-node (f=1, CFT)",169,1.2323
"raft/3-node (f=1, CFT)",170,0.8722
"raft/3-node (f=1, CFT)",171,1.0352
"raft/3-node (f=1, CFT)",172,0.8495
"raft/3-node (f=1, CFT)",173,1.0694
"raft/3-node (f=1, CFT)",174,0.9662
"raft/3-node (f=1, CFT)",175,1.0628
"raft/3-node (f=1, CFT)",176,1.0005
"raft/3-node (f=1, CFT)",177,0.7487
"raft/3-node (f=1, CFT)",178,0.8878
"raft/3-node (f=1, CFT)",179,0.8327
"raft/3-node (f=1, CFT)",180,0.9968
"raft/3-node (f=1, CFT)",181,1.0386
"raft/3-node (f=1, CFT)",182,0.8500
"raft/3-node (f=1, CFT)",183,1.2872
"raft/3-node (f=1, CFT)",184,1.4632
"raft/3-node (f=1, CFT)",185,1.3260
"raft/3-node (f=1, CFT)",186,0.7413
"raft/3-node (f=1, CFT)",187,1.1275
"raft/3-node (f=1, CFT)",188,1.0190
"raft/3-node (f=1, CFT)",189,1.3247
"raft/3-node (f=1, CFT)",190,1.2213
"raft/3-node (f=1, CFT)",191,0.8237
"raft/3-node (f=1, CFT)",192,0.9893
"raft/3-node (f=1, CFT)",193,0.8823
"raft/3-node (f=1, CFT)",194,0.8619
"raft/3-node (f=1, CFT)",195,1.0857
"raft/3-node (f=1, CFT)",196,1.1590
"raft/3-node (f=1, CFT)",197,1.1040
"raft/3-node (f=1, CFT)",198,1.1354
"raft/3-node (f=1, CFT)",199,0.9271
tendermint/1-node,0,0.5078
tendermint/1-node,1,0.6553
tendermint/1-node,2,0.4930
tendermint/1-node,3,0.5892
tendermint/1-node,4,2.4023
tendermint/1-node,5,1.3358
tendermint/1-node,6,0.5289
tendermint/1-node,7,0.5471
tendermint/1-node,8,0.5623
tendermint/1-node,9,0.5002
tendermint/1-node,10,0.4688
tendermint/1-node,11,0.8778
tendermint/1-node,12,0.5678
tendermint/1-node,13,0.4674
tendermint/1-node,14,0.4988
tendermint/1-node,15,0.4840
tendermint/1-node,16,0.4300
tendermint/1-node,17,0.5390
tendermint/1-node,18,0.5824
tendermint/1-node,19,0.5465
tendermint/1-node,20,0.5646
tendermint/1-node,21,0.4513
tendermint/1-node,22,0.5371
tendermint/1-node,23,0.4996
tendermint/1-node,24,0.4975
tendermint/1-node,25,0.5825
tendermint/1-node,26,0.5879
tendermint/1-node,27,0.5092
tendermint/1-node,28,0.5178
tendermint/1-node,29,0.5073
tendermint/1-node,30,0.5395
tendermint/1-node,31,0.4854
tendermint/1-node,32,0.4958
tendermint/1-node,33,0.8737
tendermint/1-node,34,0.7379
tendermint/1-node,35,0.5473
tendermint/1-node,36,0.5563
tendermint/1-node,37,0.5132
tendermint/1-node,38,0.4988
tendermint/1-node,39,0.5590
tendermint/1-node,40,0.5245
tendermint/1-node,41,0.5467
tendermint/1-node,42,0.4343
tendermint/1-node,43,0.5068
tendermint/1-node,44,0.4699
tendermint/1-node,45,0.5516
tendermint/1-node,46,0.4893
tendermint/1-node,47,0.5239
tendermint/1-node,48,0.5747
tendermint/1-node,49,0.4598
tendermint/1-node,50,0.5760
tendermint/1-node,51,0.4998
tendermint/1-node,52,0.4664
tendermint/1-node,53,0.9093
tendermint/1-node,54,1.4487
tendermint/1-node,55,1.0390
tendermint/1-node,56,1.0591
